Dataset,Model,Prediction_Lag,Timestep,Train_RMSE,Train_MAE,Test_RMSE,Test_MAE,Status,Model_File,Data_Shape_Train,Data_Shape_Test,INTERP_Fixed,Warnings,Notes
regular,RNN,6,12,1.128,0.8793,0.471,0.4477,Success,RNNModel_lag6_t12.h5,"(7, 12, 23)","(2, 12, 23)",No,,
regular,RNN,6,18,1.1658,0.9461,0.5277,0.5191,Success,RNNModel_lag6_t18.h5,"(7, 18, 23)","(2, 18, 23)",No,,
regular,LSTM,6,6,1.4075,1.1785,1.436,1.392,Success,LSTMModel_lag6_t6.h5,"(7, 6, 23)","(2, 6, 23)",No,,
regular,LSTM,6,12,1.4545,1.3462,0.9176,0.8654,Success,LSTMModel_lag6_t12.h5,"(7, 12, 23)","(2, 12, 23)",No,,
regular,LSTM,6,18,1.3327,1.0904,0.7452,0.7417,Success,LSTMModel_lag6_t18.h5,"(7, 18, 23)","(2, 18, 23)",No,,
regular,GRU,6,6,1.7975,1.5004,1.187,1.1768,Success,GRUModel_lag6_t6.h5,"(7, 6, 23)","(2, 6, 23)",No,,
regular,GRU,6,12,1.3405,1.1702,0.2831,0.2753,Success,GRUModel_lag6_t12.h5,"(7, 12, 23)","(2, 12, 23)",No,,
regular,GRU,6,18,1.4537,1.1241,1.3865,1.2414,Success,GRUModel_lag6_t18.h5,"(7, 18, 23)","(2, 18, 23)",No,,
regular,LR,12,N/A,0.5758,0.4032,11.379,11.3782,Success,LRModel_lag12.pickle,"(6, 23)","(2, 23)",No,,
regular,DynLR,12,N/A,0.5758,0.4032,11.379,11.3782,Success,DynLRModel_lag12.pickle,"(6, 23)","(2, 23)",No,,
regular,RF,12,N/A,0.451,0.3733,0.5847,0.5682,Success,RFModel_lag12.pickle,"(6, 23)","(2, 23)",No,,
regular,NN,12,N/A,1.2404,1.0103,0.7149,0.6595,Success,NNModel_lag12.h5,"(6, 23)","(2, 23)",No,,
regular,DynNN,12,N/A,1.2415,1.0103,0.7116,0.656,Success,DynNNModel_lag12.h5,"(6, 23)","(2, 23)",No,,
regular,Ensemble,12,N/A,0.5713,0.4186,3.2021,3.1985,Success,EnsembleModel_lag12.pickle,"(6, 23)","(2, 23)",No,,
regular,RNN,12,6,1.5814,1.1994,0.5201,0.4907,Success,RNNModel_lag12_t6.h5,"(7, 6, 23)","(2, 6, 23)",No,,
regular,RNN,12,12,1.297,1.0149,0.541,0.5215,Success,RNNModel_lag12_t12.h5,"(7, 12, 23)","(2, 12, 23)",No,,
regular,RNN,12,18,1.3482,1.0885,1.014,0.8283,Success,RNNModel_lag12_t18.h5,"(7, 18, 23)","(2, 18, 23)",No,,
regular,LSTM,12,6,0.9755,0.8486,0.9883,0.824,Success,LSTMModel_lag12_t6.h5,"(7, 6, 23)","(2, 6, 23)",No,,
regular,LSTM,12,12,1.3097,1.1076,0.7668,0.7633,Success,LSTMModel_lag12_t12.h5,"(7, 12, 23)","(2, 12, 23)",No,,
regular,LSTM,12,18,0.8807,0.727,0.3644,0.3059,Success,LSTMModel_lag12_t18.h5,"(7, 18, 23)","(2, 18, 23)",No,,
regular,GRU,12,6,0.9213,0.8078,1.0392,0.999,Success,GRUModel_lag12_t6.h5,"(7, 6, 23)","(2, 6, 23)",No,,
regular,GRU,12,12,1.1235,0.9253,0.3758,0.2711,Success,GRUModel_lag12_t12.h5,"(7, 12, 23)","(2, 12, 23)",No,,
regular,GRU,12,18,1.0824,0.8985,0.2482,0.2253,Success,GRUModel_lag12_t18.h5,"(7, 18, 23)","(2, 18, 23)",No,,
interp,LR,1,N/A,0.6098,0.5027,1.484,1.4829,Success,LRModel_lag1.pickle,"(6, 23)","(2, 23)",Yes,,
interp,DynLR,1,N/A,0.6098,0.5027,1.484,1.4829,Success,DynLRModel_lag1.pickle,"(6, 23)","(2, 23)",Yes,,
interp,RF,1,N/A,0.6785,0.5172,0.7727,0.7712,Success,RFModel_lag1.pickle,"(6, 23)","(2, 23)",Yes,,
interp,NN,1,N/A,0.6159,0.5498,1.2383,1.2374,Success,NNModel_lag1.h5,"(6, 23)","(2, 23)",Yes,,
interp,DynNN,1,N/A,0.4593,0.4082,0.9876,0.9864,Success,DynNNModel_lag1.h5,"(6, 23)","(2, 23)",Yes,,
interp,Ensemble,1,N/A,0.6098,0.5027,1.484,1.4829,Success,EnsembleModel_lag1.pickle,"(6, 23)","(2, 23)",Yes,,
interp,RNN,1,6,0.4937,0.4615,0.9798,0.9795,Success,RNNModel_lag1_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
interp,RNN,1,12,1.0793,0.9457,0.5488,0.5301,Success,RNNModel_lag1_t12.h5,"(7, 12, 23)","(2, 12, 23)",Yes,,
interp,RNN,1,18,0.2013,0.1724,0.6518,0.6517,Success,RNNModel_lag1_t18.h5,"(7, 18, 23)","(2, 18, 23)",Yes,,
interp,LSTM,1,6,0.2872,0.2302,0.8865,0.8859,Success,LSTMModel_lag1_t6.h5,"(7, 6, 23)","(2, 6, 23)",Yes,,
