Date,Weekly COVID-19 Hospital Admissions,,,,,Date,Monthly Avg Hospital Admissions
Jan 14 2023,37515,,,,,,
Jan 21 2023,31593,,,,,,
Jan 28 2023,28264,,,,,,
Feb  4 2023,26448,,,,,,
Feb 11 2023,26372,,,,,,
Feb 18 2023,25421,,,,,,
Feb 25 2023,24008,,,,,,
Mar  4 2023,22342,,,,,,
Mar 11 2023,20179,,,,,,
Mar 18 2023,18143,,,,,,
Mar 25 2023,17173,,,,,,
Apr  1 2023,15758,,,,,,
Apr  8 2023,14406,,,,,,
Apr 15 2023,13205,,,,,,
Apr 22 2023,11779,,,,,,
Apr 29 2023,10150,,,,,,
May  6 2023,9679,,,,,,
May 13 2023,9273,,,,,,
May 20 2023,8256,,,,,,
